,Country,Average Salary
0,Switzerland,6301.73
1,Luxembourg,4479.8
2,Zambia,4330.98
3,Jersey,4323.25
4,Bermuda,4250.0
5,Norway,4215.43
6,Monaco,4142.78
7,Qatar,4038.08
8,Gibraltar,3990.69
9,Australia,3780.69
10,Cayman Islands,3313.01
11,Denmark,3269.62
12,United States,3258.85
13,British Virgin Islands,3200.0
14,Sweden,3181.11
15,United Arab Emirates,3081.34
16,The Bahamas,3025.0
17,Ireland,2991.21
18,United Kingdom,2960.54
19,Netherlands,2937.58
20,Finland,2924.1
21,Germany,2851.85
22,Aruba,2833.33
23,Japan,2782.43
24,Canada,2773.5
25,France,2761.99
26,Singapore,2759.38
27,Guam,2750.0
28,Greenland,2744.84
29,Andorra,2731.12
30,New Zealand,2693.05
31,Angola,2650.03
32,Belgium,2564.89
33,Hong Kong,2495.86
34,Guernsey,2495.43
35,Faroe Islands,2470.36
36,Austria,2457.33
37,New Caledonia,2425.32
38,Kuwait,2236.71
39,Brunei,2228.21
40,Iceland,2176.15
41,South Korea,2174.36
42,Italy,2117.76
43,Oman,2087.14
44,Reunion,1911.78
45,Israel,1874.63
46,Saudi Arabia,1786.07
47,Gabon,1704.12
48,Puerto Rico,1703.52
49,Spain,1635.15
50,Barbados,1625.0
51,Cyprus,1618.85
52,Malta,1562.2
53,French Polynesia,1502.12
54,Belize,1441.0
55,South Africa,1400.01
56,Mauritius,1337.74
57,Taiwan,1307.43
58,Slovenia,1275.66
59,Grenada,1250.0
60,Bahrain,1226.79
61,Curacao,1101.83
62,Malawi,1098.99
63,Equatorial Guinea,1087.5
64,Portugal,1081.73
65,Jamaica,1080.44
66,Czech Republic,1020.48
67,Argentina,1018.58
68,Lesotho,1017.82
69,Malaysia,979.6
70,Greece,953.44
71,Chile,949.5
72,Slovakia,947.95
73,Lebanon,937.16
74,Estonia,914.97
75,Poland,905.62
76,Croatia,869.71
77,Uruguay,862.6
78,Isle of Man,831.39
79,Suriname,808.02
80,Swaziland,786.93
81,Costa Rica,779.04
82,Panama,770.21
83,Brazil,757.92
84,Mozambique,757.22
85,Turkey,756.06
86,Nigeria,731.68
87,China,731.14
88,Mexico,729.94
89,Trinidad and Tobago,719.49
90,Latvia,713.11
91,Haiti,712.5
92,Fiji,710.22
93,Lithuania,701.28
94,Russia,686.16
95,Hungary,667.58
96,Sudan,650.0
97,Libya,644.09
98,Jordan,636.99
99,Namibia,633.02
100,Tanzania,632.67
101,Maldives,627.3
102,Kazakhstan,614.24
103,Nicaragua,592.5
104,Montenegro,589.82
105,Iraq,572.85
106,Guatemala,570.79
107,Venezuela,564.76
108,Bolivia,564.23
109,Bosnia and Herzegovina,562.45
110,Madagascar,533.33
111,Botswana,528.84
112,Azerbaijan,524.84
113,Honduras,522.86
114,Dominica,513.89
115,Serbia,507.08
116,Bulgaria,506.76
117,Thailand,502.78
118,Belarus,502.19
119,Zimbabwe,500.0
120,Peru,492.13
121,Dominican Republic,491.37
122,Romania,487.08
123,Kenya,481.21
124,Colombia,474.66
125,Cameroon,466.74
126,Mongolia,464.89
127,Rwanda,460.0
128,India,452.11
129,Iran,447.61
130,Albania,434.19
131,Paraguay,425.61
132,Saint Lucia,421.11
133,Morocco,415.59
134,Mali,400.0
135,Tunisia,393.03
136,Republic of Macedonia,386.85
137,Uganda,379.79
138,Turkmenistan,373.33
139,El Salvador,365.0
140,Uzbekistan,360.72
141,Ecuador,359.29
142,Ukraine,357.71
143,Sri Lanka,352.62
144,Democratic Republic of the Congo,351.83
145,Ghana,351.22
146,Somalia,350.0
147,Kyrgyzstan,350.0
148,Algeria,346.48
149,Bangladesh,340.22
150,Vietnam,334.6
151,Philippines,330.73
152,Armenia,312.89
153,Indonesia,304.25
154,Georgia,299.37
155,Burma,281.62
156,Laos,281.33
157,Papua New Guinea,274.1
158,Seychelles,267.21
159,Egypt,264.33
160,Burundi,256.25
161,Syria,251.75
162,Ethiopia,249.0
163,Moldova,244.09
164,Cambodia,243.94
165,Pakistan,239.31
166,Yemen,229.0
167,Afghanistan,213.58
168,Guyana,209.33
169,Senegal,200.0
170,Cape Verde,191.18
171,Tajikistan,187.27
172,Nepal,166.49
173,Samoa,63.82
174,Gambia,39.37
175,Cuba,25.05
