,Country,Average Salary
0,Switzerland,5402.189771710549
1,Luxembourg,3840.331105793
2,Zambia,3712.7544114842995
3,Jersey,3706.12783006375
4,Bermuda,3643.33389875
5,Norway,3613.69859219005
6,Monaco,3551.4190138973
7,Qatar,3461.6644117328
8,Gibraltar,3421.03909562415
9,Australia,3241.01553827415
10,Cayman Islands,2840.09450350535
11,Denmark,2802.8982075367
12,United States,2793.66557080975
13,British Virgin Islands,2743.216112
14,Sweden,2727.0225643888502
15,UAE,2641.4942295469
16,The Bahamas,2593.196480875
17,Ireland,2564.22983324235
18,United Kingdom,2537.9378213188998
19,Netherlands,2518.2552457153
20,Finland,2506.6994478435
21,Germany,2444.76277156475
22,Aruba,2428.88640831655
23,Japan,2385.25212703505
24,Canada,2377.5968395725
25,France,2367.7298341196497
26,Singapore,2365.4923984783
27,Guam,2357.45134625
28,Greenland,2353.0279102694003
29,Andorra,2341.2663711892
30,New Zealand,2308.63067200675
31,Angola,2271.75156040105
32,Belgium,2198.7648667211497
33,Hong Kong,2139.5885516551
34,Guernsey,2139.2199319900496
35,Faroe Islands,2117.7285482626003
36,Austria,2106.55851515655
37,New Caledonia,2079.1177814862003
38,Kuwait,1917.43090933485
39,Brunei,1910.1442415373501
40,Iceland,1865.5155444152501
41,South Korea,1863.9810579026
42,Italy,1815.4604229216002
43,Oman,1789.2112737498999
44,Reunion,1638.8830308123
45,Israel,1607.03600626205
46,Saudi Arabia,1531.1175003624498
47,Gabon,1460.8654502441998
48,Puerto Rico,1460.3510972232
49,Spain,1401.74057048025
50,Barbados,1393.039431875
51,Cyprus,1387.76731340975
52,Malta,1339.203815677
53,French Polynesia,1287.6999331742
54,Belize,1235.304505435
55,South Africa,1200.16562155035
56,Mauritius,1146.7843505209
57,Taiwan,1120.80095041005
58,Slovenia,1093.5659579481
59,Grenada,1071.56879375
60,Bahrain,1051.6719043876499
61,Curacao,944.5493152140499
62,Malawi,942.11471091465
63,Equatorial Guinea,932.2648505625
64,Portugal,927.31848901055
65,Jamaica,926.2126300154
66,Czech Republic,874.8116181168
67,Argentina,873.1828335503001
68,Lesotho,872.5313197237
69,Malaysia,839.767032286
70,Greece,817.3412405704
71,Chile,813.9636557325
72,Slovakia,812.63491042825
73,Lebanon,803.3851286006
74,Estonia,784.3626393739501
75,Poland,776.3473047967
76,Croatia,745.5632764898501
77,Uruguay,739.4681931910001
78,Isle of Man,712.7132635486499
79,Suriname,692.6792133806999
80,Swaziland,674.59970469255
81,Costa Rica,667.8359624664
82,Panama,660.26640050735
83,Brazil,649.7307361272
84,Mozambique,649.1306576027
85,Turkey,648.1362417621
86,Nigeria,627.2363640087999
87,China,626.7734462899
88,Mexico,625.7447402479
89,Trinidad and Tobago,616.78642513215
90,Latvia,611.3171380088501
91,Haiti,610.7942124375
92,Fiji,608.8396709577
93,Lithuania,601.1758109448
94,Russia,588.2141148155999
95,Hungary,572.2863162653
96,Sudan,557.21577275
97,Libya,552.14939549315
98,Jordan,546.06288474465
99,Namibia,542.6595822557
100,Tanzania,542.35954299345
101,Maldives,537.7560834555
102,Kazakhstan,526.5603326984
103,Nicaragua,507.9236082375
104,Montenegro,505.62616474370003
105,Iraq,491.07854679975003
106,Guatemala,489.31260142764995
107,Venezuela,484.1433535666
108,Bolivia,483.68900839805
109,Bosnia and Herzegovina,482.16309443575005
110,Madagascar,457.19982781655006
111,Botswana,453.3507527094
112,Azerbaijan,449.92173256940004
113,Honduras,448.22436760010004
114,Dominica,440.53478993615
115,Serbia,434.6968831478
116,Bulgaria,434.42256153659997
117,Thailand,431.01068649729996
118,Belarus,430.50490602665
119,Zimbabwe,428.6275175
120,Peru,421.88092037455
121,Dominican Republic,421.22940654795
122,Romania,417.5517824478
123,Kenya,412.51969539235
124,Colombia,406.9046749131
125,Cameroon,400.1152150359
126,Mongolia,398.52929322115
127,Rwanda,394.3373161
128,India,387.57357387385
129,Iran,383.71592621635
130,Albania,372.21156364665
131,Paraguay,364.85631544635004
132,Saint Lucia,360.99866778885
133,Morocco,356.26661999565
134,Mali,342.902014
135,Tunisia,336.92694640605
136,Republic of Macedonia,331.62911028975003
137,Uganda,325.57688974265
138,Turkmenistan,320.03902221655
139,El Salvador,312.898087775
140,Uzbekistan,309.22903622520005
141,Ecuador,308.00316152515
142,Ukraine,306.64869856984996
143,Sri Lanka,302.2852704417
144,Democratic Republic of the Congo,301.60803896404997
145,Ghana,301.0851133927
146,Somalia,300.03926225
147,Kyrgyzstan,300.03926225
148,Algeria,297.0217245268
149,Bangladesh,291.6553080077
150,Vietnam,286.83753471100005
151,Philipines,283.51995772555
152,Armenia,268.22652790115
153,Indonesia,260.81984439875
154,Georgia,256.63643982795
155,Burma,241.4201629567
156,Laos,241.17155899654998
157,Papua New Guinea,234.97360509350003
158,Seychelles,229.06711790235
159,Egypt,226.59822340154997
160,Burundi,219.67160271875
161,Syria,215.81395506125
162,Ethiopia,213.456503715
163,Moldova,209.24738149315002
164,Cambodia,209.1187932379
165,Pakistan,205.14970242585
166,Yemen,196.311403015
167,Afghanistan,183.09253037530002
168,Guyana,179.44919647655001
169,Senegal,171.451007
170,Cape Verde,163.8900175913
171,Tajikistan,160.53815040445002
172,Nepal,142.72439077715
173,Samoa,54.7100163337
174,Gambia,33.75013072795
175,Cuba,21.47423862675
